id,result
1,0.160500439
2,0.768107164
3,0.115114676
4,0.700648128
5,0.50815264
6,0.885489567
7,0.301189242
8,0.408110972
9,0.115114676
10,0.226763174
11,0.706597137
12,0.686296821
13,0.115114676
14,0.115114676
15,0.770577791
16,0.115114676
17,0.298835118
18,0.233808374
19,0.840299041
20,0.601361175
21,0.885489567
22,0.115114676
23,0.514055473
24,0.305654648
25,0.391286539
26,0.602578767
27,0.837893522
28,0.885489567
29,0.691843157
30,0.835000795
31,0.692670497
32,0.836916474
33,0.771826755
34,0.166481938
35,0.305440311
36,0.160500439
37,0.606811802
38,0.231340829
39,0.407594695
40,0.769714722
41,0.224960787
42,0.774949327
43,0.230466642
44,0.115114676
45,0.698481594
46,0.502743912
47,0.320218907
48,0.766288658
49,0.885489567
50,0.885489567
51,0.698000734
52,0.781465004
53,0.48900352
54,0.776917131
55,0.495250138
56,0.406413629
57,0.405748009
58,0.599232906
59,0.605671238
60,0.691840836
61,0.490230914
62,0.686296821
63,0.163896637
64,0.305654648
65,0.601277009
66,0.603425005
67,0.840299041
68,0.165819975
69,0.70510725
70,0.509150336
71,0.40464622
72,0.837893522
73,0.766288658
74,0.836916474
75,0.595057338
76,0.294636981
77,0.493717933
78,0.294636981
79,0.504657156
80,0.227166774
81,0.510652895
82,0.885489567
83,0.698477798
84,0.885489567
85,0.218265039
86,0.115114676
87,0.77607098
88,0.694518596
89,0.597205074
90,0.696941462
91,0.115114676
92,0.297522135
93,0.694968869
94,0.167233148
95,0.115114676
96,0.115114676
97,0.513047707
98,0.885489567
99,0.299050594
100,0.166481938
101,0.611811063
102,0.301189242
103,0.490233635
104,0.51439763
105,0.782747714
106,0.163229616
107,0.885489567
108,0.840299041
109,0.115114676
110,0.608518259
111,0.160500439
112,0.598353887
113,0.318006626
114,0.690498785
115,0.163896637
116,0.835020717
117,0.308299315
118,0.229196451
119,0.598560435
120,0.485549485
121,0.165819975
122,0.833593221
123,0.228249562
124,0.115114676
125,0.837580828
126,0.296683462
127,0.690498785
128,0.770577791
129,0.839286361
130,0.308268478
131,0.512482033
132,0.493717933
133,0.700064435
134,0.885489567
135,0.59952504
136,0.835020717
137,0.498943473
138,0.398880583
139,0.165819975
140,0.406413629
141,0.115114676
142,0.841144852
143,0.400574668
144,0.591686708
145,0.695636321
146,0.115114676
147,0.777315566
148,0.599232906
149,0.593751932
150,0.405200512
151,0.837893522
152,0.50343385
153,0.839286361
154,0.774949327
155,0.595026867
156,0.392532123
157,0.839286361
158,0.885489567
159,0.599686578
160,0.604349636
161,0.600107562
162,0.227875775
163,0.115114676
164,0.607970125
165,0.77184585
166,0.596858433
167,0.603080159
168,0.772796054
169,0.782747714
170,0.598007569
171,0.885489567
172,0.166481938
173,0.398768698
174,0.300160279
175,0.607597045
176,0.772796054
177,0.691621594
178,0.770028684
179,0.690800418
180,0.493465443
181,0.404018965
182,0.766262759
183,0.771826755
184,0.166481938
185,0.395784214
186,0.115114676
187,0.230474989
188,0.840299041
189,0.400593731
190,0.163896637
191,0.61034999
192,0.610139843
193,0.589949296
194,0.30994079
195,0.224963952
196,0.834341457
197,0.501324018
198,0.681042503
199,0.159651198
200,0.406411002
201,0.115114676
202,0.23102586
203,0.231434776
204,0.115114676
205,0.299050594
206,0.608313482
207,0.115114676
208,0.885489567
209,0.499755478
210,0.598084919
211,0.320250386
212,0.594476776
213,0.885489567
214,0.835020717
215,0.606807471
216,0.506578434
217,0.601361175
218,0.770577791
219,0.295115279
220,0.498746974
221,0.885489567
222,0.229628676
223,0.224963952
224,0.602360203
225,0.776074134
226,0.885489567
227,0.885489567
228,0.309418113
229,0.593751932
230,0.835020717
231,0.773659213
232,0.308268478
233,0.840299041
234,0.688856904
235,0.402498993
236,0.693445553
237,0.162915665
238,0.699581199
239,0.31498462
240,0.230067261
241,0.885489567
242,0.700064435
243,0.833593221
244,0.232303134
245,0.115114676
246,0.511227707
247,0.885489567
248,0.395535766
249,0.115114676
250,0.601065167
251,0.68837141
252,0.885489567
253,0.497388793
254,0.612998357
255,0.165799973
256,0.23102586
257,0.304590268
258,0.500330565
259,0.159651198
260,0.776049003
261,0.598595181
262,0.834341457
263,0.163229616
264,0.305633947
265,0.115114676
266,0.608518259
267,0.115114676
268,0.231340829
269,0.495594916
270,0.159651198
271,0.405748009
272,0.885489567
273,0.165799973
274,0.885489567
275,0.5047847
276,0.115114676
277,0.500330565
278,0.312905421
279,0.306781947
280,0.226763174
281,0.115114676
282,0.229603096
283,0.695626356
284,0.310584047
285,0.604372959
286,0.495594916
287,0.115114676
288,0.692997886
289,0.2998577
290,0.506542288
291,0.306669619
292,0.694009616
293,0.885489567
294,0.307250561
295,0.115114676
296,0.69182004
297,0.30166983
298,0.31020491
299,0.885489567
300,0.167233148
301,0.835020717
302,0.223715272
303,0.161517214
304,0.495259181
305,0.885489567
306,0.885489567
307,0.306186929
308,0.115114676
309,0.305440311
310,0.406402276
311,0.398871909
312,0.159651198
313,0.836916474
314,0.839286361
315,0.520296267
316,0.49717392
317,0.771421387
318,0.230466642
319,0.115114676
320,0.603504074
321,0.608313482
322,0.502771019
323,0.307233663
324,0.837893522
325,0.885489567
326,0.774949327
327,0.703239148
328,0.885489567
329,0.691847027
330,0.841144852
331,0.837893522
332,0.841144852
333,0.885489567
334,0.227875775
335,0.837893522
336,0.769714722
337,0.165799973
338,0.504660789
339,0.234777807
340,0.769621076
341,0.115114676
342,0.405108054
343,0.885489567
344,0.229628676
345,0.313469467
346,0.768107164
347,0.115114676
348,0.687831902
349,0.115114676
350,0.115114676
351,0.839286361
352,0.702224445
353,0.160500439
354,0.885489567
355,0.602548453
356,0.595054714
357,0.699581199
358,0.685132256
359,0.771852221
360,0.694786632
361,0.392025964
362,0.771852221
363,0.404348825
364,0.835020717
365,0.835020717
366,0.834341457
367,0.77521751
368,0.161517214
369,0.885489567
370,0.162915665
371,0.296203691
372,0.840299041
373,0.501513289
374,0.592019879
375,0.885489567
376,0.227875775
377,0.403041011
378,0.115114676
379,0.304295128
380,0.773659213
381,0.161517214
382,0.232953526
383,0.163896637
384,0.159651198
385,0.222808896
386,0.603080159
387,0.115114676
388,0.115114676
389,0.695931337
390,0.683281425
391,0.49210302
392,0.605893477
393,0.885489567
394,0.222559494
395,0.394362047
396,0.296130508
397,0.885489567
398,0.161517214
399,0.30994079
400,0.885489567
401,0.227875775
402,0.839286361
403,0.311259217
404,0.115114676
405,0.77521751
406,0.688887897
407,0.309452865
408,0.837893522
409,0.885489567
410,0.382152564
411,0.840299041
412,0.69046788
413,0.166481938
414,0.505316284
415,0.835020717
416,0.115114676
417,0.692994024
418,0.837893522
419,0.507768145
420,0.605514833
421,0.839286361
422,0.77607098
423,0.885489567
424,0.498052479
425,0.493693552
426,0.837580828
427,0.773633889
428,0.694518596
429,0.506003438
430,0.61449572
431,0.30621765
432,0.77737633
433,0.606090063
434,0.230492289
435,0.601407996
436,0.160500439
437,0.229603096
